name,state,south,british,german,mobility
Havre,Montana,False,22.93883,29.69858,8.21485
Shelby,Montana,False,22.93883,29.69858,4.7505937
Great Falls,Montana,False,22.896242,29.868736,9.635975
Lewistown,Montana,False,21.395823,35.863476,17.164179
Cody,Wyoming,False,30.132692,32.823444,14.740369
Worland,Wyoming,False,30.132692,32.823444,13.065327
Riverton,Wyoming,False,34.295498,22.439661,12.431843
Sheridan,Wyoming,False,27.818676,33.628616,10.449321
Miles City,Montana,False,21.395823,35.863476,17.928288
Colstrip,Montana,False,21.395823,35.863476,8.888889
Billings,Montana,False,27.67814,39.00208,13.051917
Harlowton,Montana,False,25.331985,31.67898,20.0
Dillon,Montana,False,29.683308,27.053139,11.688312
Bozeman,Montana,False,29.266163,27.496597,12.596899
Helena,Montana,False,29.683308,27.053139,11.97411
Butte-Silver Bow,Montana,False,29.683308,27.053139,8.936652
Bonners Ferry,Idaho,False,30.889208,29.519733,9.913794
Libby,Montana,False,28.497046,29.448282,13.026052
Kalispell,Montana,False,28.497046,29.448282,11.084143
Missoula,Montana,False,28.497046,29.448282,10.562731
Gillette,Wyoming,False,30.1278,32.08408,26.418438
Rawlins,Wyoming,False,30.107794,29.063019,19.341564
Casper,Wyoming,False,30.107794,29.063019,16.62689
Las Vegas,New Mexico,False,20.812807,11.976602,8.584842
Santa Fe,New Mexico,False,17.69166,9.814659,8.032331
Tucumcari,New Mexico,False,20.812807,11.976602,7.3033705
Clayton,New Mexico,False,20.812807,11.976602,12.230216
Alamosa,Colorado,False,26.78832,16.332117,9.886792
Albuquerque,New Mexico,False,23.406414,15.12876,6.5984616
Socorro,New Mexico,False,18.878263,10.468094,5.211726
Phoenix,Arizona,False,28.344717,21.463772,7.527729
Safford,Arizona,False,25.137693,14.263523,11.059191
Tucson,Arizona,False,27.66933,20.331413,7.0549994
Grand Junction,Colorado,False,33.088364,25.404913,14.636715
Gunnison,Colorado,False,31.926792,26.148111,10.619469
Farmington,New Mexico,False,19.19996,10.44121,9.1447525
